DatePlayed,VisitorHome,Team,Q1,Q2,Q3,Q4,OT,EQ1,EQ2,EQ3,EQ4,EOG,EndingDigitQ1,EndingDigitQ2,EndingDigitQ3,EndingDigitQ4,EndingDigitFinal
10/4/2021,V,IND,7,6,3,3,,7,13,16,19,19,7,3,6,9,9
10/4/2021,H,CHI,0,3,0,8,,0,3,3,11,11,0,3,3,1,1
10/4/2021,V,NYG,0,6,0,3,,0,6,6,9,9,0,6,6,9,9
10/4/2021,H,LAR,7,3,0,7,,7,10,10,17,17,7,0,0,7,7
10/4/2021,V,ARZ,0,7,7,7,,0,7,14,21,21,0,7,4,1,1
10/4/2021,H,CAR,14,7,7,3,,14,21,28,31,31,4,1,8,1,1
10/4/2021,V,BAL,7,14,7,3,,7,21,28,31,31,7,1,8,1,1
10/4/2021,H,WAS,0,10,0,7,,0,10,10,17,17,0,0,0,7,7
10/4/2021,V,CLE,7,24,10,8,,7,31,41,49,49,7,1,1,9,9
10/4/2021,H,DAL,14,0,0,24,,14,14,14,38,38,4,4,4,8,8
10/4/2021,V,JAX,7,6,0,12,,7,13,13,25,25,7,3,3,5,5
10/4/2021,H,CIN,3,7,17,6,,3,10,27,33,33,3,0,7,3,3
10/4/2021,V,LAC,14,10,7,0,,14,24,31,31,31,4,4,1,1,1
10/4/2021,H,TB,7,7,14,10,,7,14,28,38,38,7,4,8,8,8
10/4/2021,V,MIN,7,10,7,7,,7,17,24,31,31,7,7,4,1,1
10/4/2021,H,HOU,0,6,10,7,,0,6,16,23,23,0,6,6,3,3
10/4/2021,V,NO,7,21,7,0,,7,28,35,35,35,7,8,5,5,5
10/4/2021,H,DET,14,0,7,8,,14,14,21,29,29,4,4,1,9,9
10/4/2021,V,SEA,10,7,0,14,,10,17,17,31,31,0,7,7,1,1
10/4/2021,H,MIA,3,6,3,11,,3,9,12,23,23,3,9,2,3,3
10/5/2021,V,ATL,0,3,6,7,,0,3,9,16,16,0,3,9,6,6
10/5/2021,H,GB,7,13,7,3,,7,20,27,30,30,7,0,7,0,0
10/5/2021,V,NE,0,3,0,7,,0,3,3,10,10,0,3,3,0,0
10/5/2021,H,KC,6,0,7,13,,6,6,13,26,26,6,6,3,6,6
10/8/2021,V,TB,10,3,3,3,,10,13,16,19,19,0,3,6,9,9
10/8/2021,H,CHI,0,14,0,6,,0,14,14,20,20,0,4,4,0,0
10/11/2021,V,MIN,7,6,6,7,,7,13,19,26,26,7,3,9,6,6
10/11/2021,H,SEA,0,0,21,6,,0,0,21,27,27,0,0,1,7,7
10/11/2021,V,IND,7,3,10,3,,7,10,20,23,23,7,0,0,3,3
10/11/2021,H,CLE,3,17,7,5,,3,20,27,32,32,3,0,7,2,2
10/11/2021,V,NYG,14,6,3,11,,14,20,23,34,34,4,0,3,4,4
10/11/2021,H,DAL,3,21,7,6,,3,24,31,37,37,3,4,1,7,7
10/11/2021,V,MIA,14,16,7,6,,14,30,37,43,43,4,0,7,3,3
10/11/2021,H,SF,0,7,10,0,,0,7,17,17,17,0,7,7,7,7
10/11/2021,V,ARZ,7,10,7,6,,7,17,24,30,30,7,7,4,0,0
10/11/2021,H,NYJ,0,3,7,0,,0,3,10,10,10,0,3,0,0,0
10/11/2021,V,CAR,3,17,0,3,,3,20,20,23,23,3,0,0,3,3
10/11/2021,H,ATL,7,0,3,6,,7,7,10,16,16,7,7,0,6,6
10/11/2021,V,CIN,0,0,0,3,,0,0,0,3,3,0,0,0,3,3
10/11/2021,H,BAL,10,7,3,7,,10,17,20,27,27,0,7,0,7,7
10/11/2021,V,JAX,0,7,0,7,,0,7,7,14,14,0,7,7,4,4
10/11/2021,H,HOU,0,10,3,17,,0,10,13,30,30,0,0,3,0,0
10/11/2021,V,LV,3,21,0,16,,3,24,24,40,40,3,4,4,0,0
10/11/2021,H,KC,7,17,0,8,,7,24,24,32,32,7,4,4,2,2
10/11/2021,V,LAR,6,14,3,7,,6,20,23,30,30,6,0,3,0,0
10/11/2021,H,WAS,7,3,0,0,,7,10,10,10,10,7,0,0,0,0
10/11/2021,V,PHI,7,7,8,7,,7,14,22,29,29,7,4,2,9,9
10/11/2021,H,PIT,7,10,14,7,,7,17,31,38,38,7,7,1,8,8
10/13/2021,V,BUF,7,3,0,6,,7,10,10,16,16,7,0,0,6,6
10/13/2021,H,TEN,7,14,7,14,,7,21,28,42,42,7,1,8,2,2
10/13/2021,V,LAC,6,14,0,7,0,6,20,20,27,27,6,0,0,7,7
10/13/2021,H,NO,3,7,3,14,3,3,10,13,27,30,3,0,3,7,0
10/18/2021,V,LAR,0,6,3,7,,0,6,9,16,16,0,6,9,6,6
10/18/2021,H,SF,7,14,0,3,,7,21,21,24,24,7,1,1,4,4
10/18/2021,V,GB,10,0,0,0,,10,10,10,10,10,0,0,0,0,0
10/18/2021,H,TB,0,28,10,0,,0,28,38,38,38,0,8,8,8,8
10/18/2021,V,NYJ,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
10/18/2021,H,MIA,7,14,3,0,,7,21,24,24,24,7,1,4,4,4
10/18/2021,V,ATL,10,10,10,10,,10,20,30,40,40,0,0,0,0,0
10/18/2021,H,MIN,0,0,7,16,,0,0,7,23,23,0,0,7,3,3
10/18/2021,V,BAL,14,3,7,6,,14,17,24,30,30,4,7,4,0,0
10/18/2021,H,PHI,0,0,6,22,,0,0,6,28,28,0,0,6,8,8
10/18/2021,V,CHI,7,6,7,3,,7,13,20,23,23,7,3,0,3,3
10/18/2021,H,CAR,3,3,0,10,,3,6,6,16,16,3,6,6,6,6
10/18/2021,V,CIN,14,10,3,0,,14,24,27,27,27,4,4,7,7,7
10/18/2021,H,IND,0,21,0,10,,0,21,21,31,31,0,1,1,1,1
10/18/2021,V,CLE,0,7,0,0,,0,7,7,7,7,0,7,7,7,7
10/18/2021,H,PIT,10,14,7,7,,10,24,31,38,38,0,4,1,8,8
10/18/2021,V,DEN,6,6,6,0,,6,12,18,18,18,6,2,8,8,8
10/18/2021,H,NE,0,3,0,9,,0,3,3,12,12,0,3,3,2,2
10/18/2021,V,DET,7,10,7,10,,7,17,24,34,34,7,7,4,4,4
10/18/2021,H,JAX,3,0,7,6,,3,3,10,16,16,3,3,0,6,6
10/18/2021,V,HOU,0,10,13,13,0,0,10,23,36,36,0,0,3,6,6
10/18/2021,H,TEN,14,7,0,15,6,14,21,21,36,42,4,1,1,6,2
10/18/2021,V,WAS,0,10,0,9,,0,10,10,19,19,0,0,0,9,9
10/18/2021,H,NYG,10,3,0,7,,10,13,13,20,20,0,3,3,0,0
10/19/2021,V,ARZ,0,21,7,10,,0,21,28,38,38,0,1,8,8,8
10/19/2021,H,DAL,0,3,0,7,,0,3,3,10,10,0,3,3,0,0
10/19/2021,V,KC,7,6,7,6,,7,13,20,26,26,7,3,0,6,6
10/19/2021,H,BUF,3,7,0,7,,3,10,10,17,17,3,0,0,7,7
10/22/2021,V,NYG,7,0,7,7,,7,7,14,21,21,7,7,4,1,1
10/22/2021,H,PHI,7,3,0,12,,7,10,10,22,22,7,0,0,2,2
10/25/2021,V,JAX,0,14,15,0,,0,14,29,29,29,0,4,9,9,9
10/25/2021,H,LAC,9,7,20,3,,9,16,36,39,39,9,6,6,9,9
10/25/2021,V,KC,10,14,6,13,,10,24,30,43,43,0,4,0,3,3
